BuildingIndex,Year,Month,Day,Hour,Quarter,P1(DayOfWeek),P2(Holiday),P3(HighestTemp),P4(Weather),Demand
1,2017,1,4,21,3,3,4,10.7,1,252.48
1,2017,1,4,22,0,3,4,10.7,1,256.8
1,2017,1,4,22,1,3,4,10.7,1,254.88
1,2017,1,4,22,2,3,4,10.7,1,243.84
1,2017,1,4,22,3,3,4,10.7,1,243.36
1,2017,1,4,23,0,3,4,10.7,1,245.28
1,2017,1,4,23,1,3,4,10.7,1,241.44
1,2017,1,4,23,2,3,4,10.7,1,236.16
1,2017,1,4,23,3,3,4,10.7,1,229.44
1,2017,1,4,24,0,3,4,10.7,1,220.8
1,2017,1,5,0,1,4,4,9.3,2,216.0
1,2017,1,5,0,2,4,4,9.3,2,215.52
1,2017,1,5,0,3,4,4,9.3,2,210.72
1,2017,1,5,1,0,4,4,9.3,2,232.32
1,2017,1,5,1,1,4,4,9.3,2,209.28
1,2017,1,5,1,2,4,4,9.3,2,212.64
1,2017,1,5,1,3,4,4,9.3,2,211.68
1,2017,1,5,2,0,4,4,9.3,2,232.32
1,2017,1,5,2,1,4,4,9.3,2,210.24
1,2017,1,5,2,2,4,4,9.3,2,210.72
1,2017,1,5,2,3,4,4,9.3,2,209.76
1,2017,1,5,3,0,4,4,9.3,2,230.88
1,2017,1,5,3,1,4,4,9.3,2,210.72
1,2017,1,5,3,2,4,4,9.3,2,210.24
1,2017,1,5,3,3,4,4,9.3,2,214.08
1,2017,1,5,4,0,4,4,9.3,2,229.44
1,2017,1,5,4,1,4,4,9.3,2,211.2
1,2017,1,5,4,2,4,4,9.3,2,213.6
1,2017,1,5,4,3,4,4,9.3,2,212.16
1,2017,1,5,5,0,4,4,9.3,2,230.4
1,2017,1,5,5,1,4,4,9.3,2,229.92
1,2017,1,5,5,2,4,4,9.3,2,234.72
1,2017,1,5,5,3,4,4,9.3,2,236.16
1,2017,1,5,6,0,4,4,9.3,2,243.36
1,2017,1,5,6,1,4,4,9.3,2,236.16
1,2017,1,5,6,2,4,4,9.3,2,241.92
1,2017,1,5,6,3,4,4,9.3,2,248.64
1,2017,1,5,7,0,4,4,9.3,2,279.84
1,2017,1,5,7,1,4,4,9.3,2,361.92
1,2017,1,5,7,2,4,4,9.3,2,491.04
1,2017,1,5,7,3,4,4,9.3,2,556.32
1,2017,1,5,8,0,4,4,9.3,2,570.24
1,2017,1,5,8,1,4,4,9.3,2,593.28
1,2017,1,5,8,2,4,4,9.3,2,617.28
1,2017,1,5,8,3,4,4,9.3,2,665.76
1,2017,1,5,9,0,4,4,9.3,2,662.4
1,2017,1,5,9,1,4,4,9.3,2,696.48
1,2017,1,5,9,2,4,4,9.3,2,704.16
1,2017,1,5,9,3,4,4,9.3,2,673.44
1,2017,1,5,10,0,4,4,9.3,2,656.16
1,2017,1,5,10,1,4,4,9.3,2,703.68
1,2017,1,5,10,2,4,4,9.3,2,653.28
1,2017,1,5,10,3,4,4,9.3,2,638.88
1,2017,1,5,11,0,4,4,9.3,2,654.24
1,2017,1,5,11,1,4,4,9.3,2,639.84
1,2017,1,5,11,2,4,4,9.3,2,618.24
1,2017,1,5,11,3,4,4,9.3,2,590.4
1,2017,1,5,12,0,4,4,9.3,2,612.48
1,2017,1,5,12,1,4,4,9.3,2,534.72
1,2017,1,5,12,2,4,4,9.3,2,504.96
1,2017,1,5,12,3,4,4,9.3,2,541.92
1,2017,1,5,13,0,4,4,9.3,2,546.24
1,2017,1,5,13,1,4,4,9.3,2,603.36
1,2017,1,5,13,2,4,4,9.3,2,571.2
1,2017,1,5,13,3,4,4,9.3,2,586.08
1,2017,1,5,14,0,4,4,9.3,2,558.72
1,2017,1,5,14,1,4,4,9.3,2,550.08
1,2017,1,5,14,2,4,4,9.3,2,533.76
1,2017,1,5,14,3,4,4,9.3,2,525.6
1,2017,1,5,15,0,4,4,9.3,2,542.88
1,2017,1,5,15,1,4,4,9.3,2,537.12
1,2017,1,5,15,2,4,4,9.3,2,539.52
1,2017,1,5,15,3,4,4,9.3,2,533.28
1,2017,1,5,16,0,4,4,9.3,2,520.8
1,2017,1,5,16,1,4,4,9.3,2,519.36
1,2017,1,5,16,2,4,4,9.3,2,512.16
1,2017,1,5,16,3,4,4,9.3,2,515.04
1,2017,1,5,17,0,4,4,9.3,2,520.8
1,2017,1,5,17,1,4,4,9.3,2,534.72
1,2017,1,5,17,2,4,4,9.3,2,523.2
1,2017,1,5,17,3,4,4,9.3,2,513.12
1,2017,1,5,18,0,4,4,9.3,2,505.92
1,2017,1,5,18,1,4,4,9.3,2,393.12
1,2017,1,5,18,2,4,4,9.3,2,331.68
1,2017,1,5,18,3,4,4,9.3,2,308.16
1,2017,1,5,19,0,4,4,9.3,2,293.76
1,2017,1,5,19,1,4,4,9.3,2,294.72
1,2017,1,5,19,2,4,4,9.3,2,280.32
1,2017,1,5,19,3,4,4,9.3,2,279.36
1,2017,1,5,20,0,4,4,9.3,2,283.68
1,2017,1,5,20,1,4,4,9.3,2,276.48
1,2017,1,5,20,2,4,4,9.3,2,245.76
1,2017,1,5,20,3,4,4,9.3,2,239.04
1,2017,1,5,21,0,4,4,9.3,2,236.16
1,2017,1,5,21,1,4,4,9.3,2,219.36
1,2017,1,5,21,2,4,4,9.3,2,218.88
1,2017,1,5,21,3,4,4,9.3,2,216.48
1,2017,1,5,22,0,4,4,9.3,2,214.56
1,2017,1,5,22,1,4,4,9.3,2,209.28
1,2017,1,5,22,2,4,4,9.3,2,205.92
1,2017,1,5,22,3,4,4,9.3,2,204.0
1,2017,1,5,23,0,4,4,9.3,2,203.52
1,2017,1,5,23,1,4,4,9.3,2,204.96
1,2017,1,5,23,2,4,4,9.3,2,204.96
1,2017,1,5,23,3,4,4,9.3,2,196.32
1,2017,1,5,24,0,4,4,9.3,2,181.44
1,2017,1,6,0,1,5,4,12.0,1,175.2
1,2017,1,6,0,2,5,4,12.0,1,175.2
1,2017,1,6,0,3,5,4,12.0,1,184.32
1,2017,1,6,1,0,5,4,12.0,1,176.16
1,2017,1,6,1,1,5,4,12.0,1,177.6
1,2017,1,6,1,2,5,4,12.0,1,177.12
1,2017,1,6,1,3,5,4,12.0,1,189.12
1,2017,1,6,2,0,5,4,12.0,1,179.52
1,2017,1,6,2,1,5,4,12.0,1,173.28
1,2017,1,6,2,2,5,4,12.0,1,171.84
1,2017,1,6,2,3,5,4,12.0,1,187.68
1,2017,1,6,3,0,5,4,12.0,1,172.8
1,2017,1,6,3,1,5,4,12.0,1,175.2
1,2017,1,6,3,2,5,4,12.0,1,189.6
1,2017,1,6,3,3,5,4,12.0,1,175.68
1,2017,1,6,4,0,5,4,12.0,1,173.28
1,2017,1,6,4,1,5,4,12.0,1,172.32
1,2017,1,6,4,2,5,4,12.0,1,180.48
1,2017,1,6,4,3,5,4,12.0,1,179.52
1,2017,1,6,5,0,5,4,12.0,1,171.84
1,2017,1,6,5,1,5,4,12.0,1,198.72
